SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
224,SPC,Samling Power Company Limited,28.77,392.00,405.00,392.00,393.00,396.76,"1,870.00",400.00,"741,939.30",31,-7.0,13.0,-1.75,3.32,-0.96,455.78,477.27,845.50,338.20,2022-12-07
224,SPC,Samling Power Company Limited,28.77,392.00,405.00,392.00,393.00,396.76,"1,870.00",400.00,"741,939.30",31,-7.0,13.0,-1.75,3.32,-0.96,455.78,477.27,845.50,338.20,2022-12-09
229,SPC,Samling Power Company Limited,26.97,385.30,392.00,371.10,378.00,379.43,"4,465.00",393.00,"1,694,167.00",56,-15.0,20.9,-3.82,5.63,-0.38,455.34,475.53,845.50,338.20,2022-12-18
229,SPC,Samling Power Company Limited,27.53,383.00,383.00,370.00,375.00,374.63,"2,067.00",378.00,"774,350.50",40,-3.0,13.0,-0.79,3.51,0.1,454.81,473.76,845.50,338.20,2022-12-19
235,SPC,Samling Power Company Limited,27.53,368.00,380.00,368.00,375.00,375.32,"1,086.00",375.00,"407,600.40",27,0.0,12.0,0.0,3.26,-0.09,454.36,472.05,845.50,338.20,2022-12-20
230,SPC,Samling Power Company Limited,26.0,368.00,380.00,368.00,370.00,374.92,"1,270.00",375.00,"476,146.10",41,-5.0,12.0,-1.33,3.26,-1.33,454.11,470.32,845.50,338.20,2022-12-21
225,SPC,Samling Power Company Limited,25.32,362.70,382.50,362.00,362.00,366.50,"3,043.00",370.00,"1,115,245.80",40,-8.0,20.5,-2.16,5.66,-1.24,453.68,468.59,845.50,338.20,2022-12-22
229,SPC,Samling Power Company Limited,33.49,369.20,388.00,367.20,387.30,382.42,"2,265.00",362.00,"866,171.00",59,25.3,20.8,6.99,5.66,1.26,453.58,467.07,845.50,338.20,2022-12-26
239,SPC,Samling Power Company Limited,45.69,395.00,412.00,391.00,411.00,405.86,"4,841.00",387.30,"1,964,784.60",81,23.7,21.00,6.12,5.37,1.25,453.95,465.86,845.50,338.20,2022-12-27
235,SPC,Samling Power Company Limited,50.72,402.80,416.10,395.00,412.00,402.15,"3,167.00",411.00,"1,273,597.00",57,1.0,21.1,0.24,5.34,2.39,454.36,464.65,845.50,338.20,2022-12-28
235,SPC,Samling Power Company Limited,50.72,403.80,428.00,395.80,428.00,414.16,"5,340.00",412.00,"2,211,632.00",71,16.0,32.2,3.88,8.14,3.23,454.66,463.58,845.50,338.20,2022-12-29
239,SPC,Samling Power Company Limited,56.35,432.00,439.90,412.00,424.00,429.25,"9,233.00",428.00,"3,963,234.00",111,-4.0,27.90,-0.93,6.77,-1.24,454.96,462.55,845.50,338.20,2023-01-01
231,SPC,Samling Power Company Limited,56.35,415.80,430.00,415.80,430.00,424.64,"6,248.00",424.00,"2,653,134.00",82,6.0,14.2,1.42,3.42,1.25,455.38,461.21,845.50,338.20,2023-01-02
235,SPC,Samling Power Company Limited,55.95,438.50,438.50,421.50,423.00,424.67,"8,584.00",430.00,"3,645,345.50",62,-7.0,17.0,-1.63,4.03,-0.39,455.63,459.98,845.50,338.20,2023-01-03
236,SPC,Samling Power Company Limited,60.51,423.00,463.00,421.00,459.00,446.08,"10,879.00",423.00,"4,852,950.20",148,36.0,42.0,8.51,9.98,2.81,455.94,459.11,845.50,338.20,2023-01-04
236,SPC,Samling Power Company Limited,59.0,459.00,468.10,445.00,463.00,453.14,"5,099.00",459.00,"2,310,548.80",103,4.0,23.1,0.87,5.19,2.13,456.31,458.30,845.50,338.20,2023-01-05
237,SPC,Samling Power Company Limited,60.2,466.00,475.00,454.00,456.60,466.07,"7,873.00",463.00,"3,669,369.00",80,-6.40,21.00,-1.38,4.63,-2.07,-,-,845.50,338.20,2023-01-08
235,SPC,Samling Power Company Limited,62.56,462.00,474.00,454.00,474.00,465.71,"7,858.00",456.60,"3,659,536.40",113,17.4,20.0,3.81,4.41,1.75,456.40,456.98,845.50,338.20,2023-01-09
232,SPC,Samling Power Company Limited,58.11,483.40,499.00,449.00,466.10,477.71,"14,543.00",474.00,"6,947,324.70",167,-7.9,50.0,-1.67,11.14,-2.49,456.44,456.32,845.50,338.20,2023-01-10
229,SPC,Samling Power Company Limited,58.14,461.00,474.30,431.20,439.00,449.47,"9,140.00",466.10,"4,108,129.60",136,-27.1,43.1,-5.81,10.0,-2.38,456.31,455.65,845.50,338.20,2023-01-12
229,SPC,Samling Power Company Limited,49.07,439.00,474.00,430.30,457.00,451.59,"8,498.00",439.00,"3,837,611.50",107,18.0,43.7,4.1,10.16,1.18,456.39,455.15,845.50,338.20,2023-01-17
226,SPC,Samling Power Company Limited,53.16,460.00,474.80,452.50,452.50,460.44,"7,049.00",457.00,"3,245,676.50",124,-4.5,22.3,-0.98,4.93,-1.76,456.40,454.54,845.50,338.20,2023-01-18
225,SPC,Samling Power Company Limited,47.87,445.00,463.00,440.00,458.00,456.07,"4,715.00",452.50,"2,150,389.50",91,5.5,23.0,1.22,5.23,0.42,456.71,454.14,845.50,338.20,2023-01-19
235,SPC,Samling Power Company Limited,47.22,458.00,467.00,448.90,454.00,455.47,"8,749.00",458.00,"3,984,875.00",108,-4.0,18.1,-0.87,4.03,-0.32,456.91,453.81,845.50,338.20,2023-01-23
226,SPC,Samling Power Company Limited,52.95,456.00,456.00,440.10,452.80,446.76,"2,485.00",454.00,"1,110,204.00",59,-1.2,15.9,-0.26,3.61,1.33,457.05,453.48,845.50,338.20,2023-01-24
239,SPC,Samling Power Company Limited,44.71,450.00,471.00,447.10,465.00,462.20,"6,680.00",452.80,"3,087,512.50",100,12.2,23.9,2.69,5.35,0.6,457.28,453.33,845.50,338.20,2023-01-25
232,SPC,Samling Power Company Limited,52.24,468.00,489.00,465.00,475.00,476.68,"7,442.00",465.00,"3,547,474.50",133,10.0,24.0,2.15,5.16,-0.35,457.67,453.22,845.50,338.20,2023-01-26
244,SPC,Samling Power Company Limited,51.85,466.00,500.00,465.00,497.00,491.49,"18,719.00",475.00,"9,200,201.90",188,22.0,35.0,4.63,7.53,1.11,458.25,453.01,845.50,338.20,2023-01-29
233,SPC,Samling Power Company Limited,54.05,490.00,490.00,468.70,471.50,476.98,"6,252.00",497.00,"2,982,108.50",101,-25.5,21.3,-5.13,4.54,-1.16,458.67,452.78,845.50,338.20,2023-01-30
236,SPC,Samling Power Company Limited,47.04,465.00,480.00,457.10,464.00,465.46,"7,554.00",471.50,"3,516,097.20",85,-7.5,22.9,-1.59,5.01,-0.32,459.03,452.55,845.50,338.20,2023-01-31
238,SPC,Samling Power Company Limited,41.56,457.10,476.00,457.10,467.20,468.58,"3,945.00",464.00,"1,848,567.80",65,3.2,18.9,0.69,4.13,-0.3,459.47,452.36,845.50,338.20,2023-02-01
234,SPC,Samling Power Company Limited,38.53,465.00,473.00,460.10,467.90,465.98,"3,420.00",467.20,"1,593,654.60",68,0.7,12.9,0.15,2.8,0.41,459.88,452.24,845.50,338.20,2023-02-02
235,SPC,Samling Power Company Limited,36.39,458.70,470.00,449.80,464.00,457.92,"2,724.00",467.90,"1,247,378.10",69,-3.9,20.2,-0.83,4.49,1.31,460.29,452.23,845.50,338.20,2023-02-05
237,SPC,Samling Power Company Limited,36.36,449.10,474.70,449.10,473.00,470.52,"1,706.00",457.00,"802,708.50",79,16.0,25.6,3.5,5.7,0.52,460.57,452.48,845.50,338.20,2023-02-07
233,SPC,Samling Power Company Limited,54.99,474.00,480.00,469.10,469.50,472.35,"5,663.00",479.00,"2,674,910.30",72,-9.5,10.9,-1.98,2.32,-0.61,460.41,452.80,845.50,338.20,2023-02-09
231,SPC,Samling Power Company Limited,54.11,460.20,509.00,442.10,487.00,487.55,"27,047.00",469.50,"13,186,849.80",240,17.5,66.9,3.73,15.13,-0.11,460.38,452.90,845.50,338.20,2023-02-12
233,SPC,Samling Power Company Limited,55.03,488.50,520.20,488.50,508.80,508.05,"17,773.00",487.00,"9,029,493.90",260,21.80,31.7,4.48,6.49,0.15,460.47,452.95,845.50,338.20,2023-02-14
233,SPC,Samling Power Company Limited,48.74,502.00,533.00,478.00,485.00,491.23,"7,688.00",504.00,"3,776,613.70",116,-19.00,55.00,-3.77,11.51,-1.29,460.18,453.23,845.50,338.20,2023-02-16
235,SPC,Samling Power Company Limited,29.6,494.00,494.00,467.50,478.40,476.31,"2,995.00",485.00,"1,426,540.00",80,-6.6,26.5,-1.36,5.67,0.44,459.50,453.22,845.50,338.20,2023-02-20
245,SPC,Samling Power Company Limited,30.4,470.00,495.00,470.00,480.10,486.41,"5,328.00",478.40,"2,591,582.80",65,1.7,25.0,0.36,5.32,-1.31,458.37,453.30,845.50,338.20,2023-02-22
237,SPC,Samling Power Company Limited,34.49,485.00,503.70,468.10,503.00,479.69,"10,127.00",480.10,"4,857,791.70",120,22.9,35.6,4.77,7.61,4.63,457.16,453.54,845.50,338.20,2023-02-23
239,SPC,Samling Power Company Limited,47.49,495.00,530.40,476.00,530.40,506.41,"22,928.00",503.00,"11,610,915.90",285,27.4,54.4,5.45,11.43,4.52,456.48,454.02,819.70,338.20,2023-02-26
237,SPC,Samling Power Company Limited,48.68,568.40,568.40,547.00,558.00,553.84,"15,550.00",580.00,"8,612,172.90",138,-22.0,21.4,-3.79,3.91,0.75,456.01,455.27,790.00,338.20,2023-02-28
232,SPC,Samling Power Company Limited,46.59,568.80,568.80,529.70,550.00,537.04,"7,069.00",558.00,"3,796,330.90",124,-8.00,39.10,-1.43,7.38,2.36,455.85,455.76,730.00,338.20,2023-03-01
231,SPC,Samling Power Company Limited,38.09,539.00,571.00,515.60,570.00,530.60,"9,523.00",550.00,"5,052,879.50",140,20.0,55.4,3.64,10.74,6.91,456.00,456.43,730.00,338.20,2023-03-02
