SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
227,SRBL,Sunrise Bank Limited,36.64,191.20,191.20,190.00,190.00,190.53,"15,611.00",191.20,"2,974,439.90",88,-1.2,1.2,-0.63,0.63,-0.28,203.09,214.49,319.00,189.40,2022-12-07
227,SRBL,Sunrise Bank Limited,36.64,191.20,191.20,190.00,190.00,190.53,"15,611.00",191.20,"2,974,439.90",88,-1.2,1.2,-0.63,0.63,-0.28,203.09,214.49,319.00,189.40,2022-12-09
232,SRBL,Sunrise Bank Limited,38.05,190.00,190.00,187.00,187.00,187.77,"17,593.00",190.00,"3,303,417.10",93,-3.0,3.0,-1.58,1.6,-0.41,-,-,319.00,187.00,2022-12-11
226,SRBL,Sunrise Bank Limited,38.15,184.50,187.00,182.00,184.50,183.42,"31,694.00",187.00,"5,813,290.80",144,-2.5,5.0,-1.34,2.75,0.59,202.69,213.66,319.00,182.00,2022-12-12
230,SRBL,Sunrise Bank Limited,39.19,183.00,186.00,183.00,186.00,184.13,"12,567.00",184.50,"2,313,986.50",55,1.5,3.0,0.81,1.64,1.0,202.53,213.25,319.00,182.00,2022-12-13
226,SRBL,Sunrise Bank Limited,36.3,185.00,186.00,183.00,183.30,183.57,"4,370.00",186.00,"802,180.60",38,-2.7,3.0,-1.45,1.64,-0.14,202.38,212.82,319.00,182.00,2022-12-14
235,SRBL,Sunrise Bank Limited,30.66,183.00,185.00,182.30,183.90,183.52,"17,799.00",183.30,"3,266,454.70",65,0.6,2.7,0.33,1.48,0.21,202.18,212.36,319.00,182.00,2022-12-15
232,SRBL,Sunrise Bank Limited,38.83,182.00,184.00,180.00,180.90,180.62,"14,709.00",183.90,"2,656,751.90",81,-3.0,4.0,-1.63,2.22,0.15,202.00,211.90,319.00,180.00,2022-12-18
232,SRBL,Sunrise Bank Limited,38.93,181.00,183.40,179.00,180.90,180.40,"20,978.00",180.90,"3,784,438.00",81,0.0,4.4,0.0,2.46,0.28,201.86,211.47,319.00,179.00,2022-12-19
238,SRBL,Sunrise Bank Limited,38.93,183.00,184.50,179.30,179.30,180.96,"20,001.00",180.90,"3,619,316.10",70,-1.6,5.2,-0.88,2.9,-0.92,201.68,211.05,319.00,179.00,2022-12-20
