SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
233,SRD80,10% Sunrise Debenture 2080,43.41,980.00,980.00,980.00,980.00,980.00,25.00,980.00,"24,500.00",1,0.0,0.0,0.0,0.0,0.0,-,-,"1,025.00",920.00,2022-12-11
227,SRD80,10% Sunrise Debenture 2080,43.33,990.00,990.00,990.00,990.00,990.00,500.00,980.00,"495,000.00",1,10.0,0.0,1.02,0.0,0.0,"1,000.19",-,"1,025.00",920.00,2022-12-14
237,SRD80,10% Sunrise Debenture 2080,55.68,970.30,970.30,970.30,970.30,970.30,50.00,990.00,"48,515.00",1,-19.7,0.0,-1.99,0.0,0.0,999.73,0.00,990.00,920.00,2023-01-30
237,SRD80,10% Sunrise Debenture 2080,44.36,989.10,989.10,989.10,989.10,989.10,25.00,970.30,"24,727.50",1,18.8,0.0,1.94,0.0,0.0,999.31,0.00,990.00,920.00,2023-02-09
238,SRD80,10% Sunrise Debenture 2080,34.11,989.00,989.00,989.00,989.00,989.00,25.00,989.10,"24,725.00",1,-0.1,0.0,-0.01,0.0,0.0,998.80,0.00,990.00,920.00,2023-03-05
239,SRD80,10% Sunrise Debenture 2080,26.47,970.00,970.00,970.00,970.00,970.00,25.00,989.00,"24,250.00",1,-19.0,0.0,-1.92,0.0,0.0,998.14,0.00,990.00,920.00,2023-03-19
250,SRD80,10% Sunrise Debenture 2080,32.08,953.00,953.00,953.00,953.00,953.00,25.00,970.00,"23,825.00",1,-17.0,0.0,-1.75,0.0,0.0,997.45,0.00,990.00,920.00,2023-04-19
245,SRD80,10% Sunrise Debenture 2080,32.08,952.50,952.50,952.30,952.30,952.40,50.00,953.00,"47,620.20",2,-0.7,0.20,-0.07,0.02,-0.01,996.68,0.00,990.00,920.00,2023-04-20
248,SRD80,10% Sunrise Debenture 2080,33.82,971.30,999.60,971.30,999.60,981.87,35.00,952.30,"34,365.50",3,47.3,28.3,4.97,2.91,1.77,996.30,0.00,999.60,920.00,2023-05-02
254,SRD80,10% Sunrise Debenture 2080,37.07,999.60,999.60,999.60,999.60,999.60,25.00,999.60,"24,990.00",1,0.0,0.0,0.0,0.0,0.0,995.92,0.00,999.60,920.00,2023-05-04
