SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
228,SSHL,Shiva Shree Hydropower Limited,31.59,177.00,179.70,176.20,178.00,177.15,"6,339.00",179.50,"1,122,930.80",41,-1.5,3.5,-0.84,1.99,0.48,211.64,239.35,414.10,161.70,2022-12-07
228,SSHL,Shiva Shree Hydropower Limited,31.59,177.00,179.70,176.20,178.00,177.15,"6,339.00",179.50,"1,122,930.80",41,-1.5,3.5,-0.84,1.99,0.48,211.64,239.35,414.10,161.70,2022-12-09
234,SSHL,Shiva Shree Hydropower Limited,33.0,175.00,175.00,167.00,168.00,169.77,"47,525.00",178.00,"8,068,103.50",160,-10.0,8.0,-5.62,4.79,-1.05,-,-,414.10,161.70,2022-12-11
227,SSHL,Shiva Shree Hydropower Limited,32.77,164.70,174.00,164.70,174.00,169.35,"35,992.00",168.00,"6,095,205.00",80,6.0,9.3,3.57,5.65,2.67,210.49,237.02,414.10,161.70,2022-12-12
231,SSHL,Shiva Shree Hydropower Limited,32.88,175.00,175.00,168.60,172.00,170.79,"14,286.00",174.00,"2,439,864.10",58,-2.0,6.4,-1.15,3.8,0.71,210.01,235.96,414.10,161.70,2022-12-13
228,SSHL,Shiva Shree Hydropower Limited,28.09,169.10,172.00,169.00,171.00,169.83,"15,273.00",172.00,"2,593,833.00",47,-1.0,3.0,-0.58,1.78,0.68,209.58,234.86,414.10,161.70,2022-12-14
236,SSHL,Shiva Shree Hydropower Limited,25.29,168.00,168.40,166.00,166.00,167.40,"18,147.00",171.00,"3,037,735.60",84,-5.0,2.4,-2.92,1.45,-0.84,208.95,233.77,414.10,161.70,2022-12-15
233,SSHL,Shiva Shree Hydropower Limited,34.38,167.00,167.00,156.80,159.90,160.31,"43,814.00",166.00,"7,023,897.90",165,-6.1,10.2,-3.67,6.51,-0.26,208.19,232.61,414.10,156.80,2022-12-18
233,SSHL,Shiva Shree Hydropower Limited,28.74,162.00,163.00,155.10,156.00,158.15,"31,991.00",159.90,"5,059,526.40",129,-3.9,7.9,-2.44,5.09,-1.38,207.60,231.43,414.10,155.10,2022-12-19
239,SSHL,Shiva Shree Hydropower Limited,28.74,159.10,163.00,159.00,162.00,160.97,"24,716.00",156.00,"3,978,420.00",98,6.0,4.0,3.85,2.52,0.64,207.06,230.39,414.10,155.10,2022-12-20
234,SSHL,Shiva Shree Hydropower Limited,32.19,165.00,165.00,159.00,161.50,161.47,"11,724.00",162.00,"1,893,021.60",54,-0.5,6.0,-0.31,3.77,0.02,206.41,229.34,414.10,155.10,2022-12-21
229,SSHL,Shiva Shree Hydropower Limited,32.29,164.70,164.70,159.00,162.00,159.89,"11,794.00",161.50,"1,885,739.00",75,0.5,5.7,0.31,3.58,1.3,205.88,228.36,414.10,155.10,2022-12-22
233,SSHL,Shiva Shree Hydropower Limited,37.07,165.00,178.00,163.00,178.00,170.96,"69,692.00",162.00,"11,914,841.00",237,16.0,15.0,9.88,9.2,3.95,205.53,227.47,414.10,155.10,2022-12-26
243,SSHL,Shiva Shree Hydropower Limited,47.2,181.50,193.80,181.00,186.00,188.64,"104,093.00",178.00,"19,635,962.20",438,8.0,12.80,4.49,7.07,-1.42,205.18,226.64,414.10,155.10,2022-12-27
