SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
244,TAMOR,Sanima Middle Tamor Hydropower Limited,30.41,295.00,324.50,295.00,324.50,322.76,"206,247.00",295.00,"66,568,580.40","12,778",29.5,29.5,10.0,10.0,0.54,0.00,0.00,324.50,295.00,2023-04-10
245,TAMOR,Sanima Middle Tamor Hydropower Limited,27.86,330.90,342.00,304.00,313.00,316.78,"158,845.00",324.50,"50,318,297.00","11,799",-11.50,38.00,-3.54,12.5,-1.21,0.00,0.00,342.00,295.00,2023-04-11
250,TAMOR,Sanima Middle Tamor Hydropower Limited,48.23,306.80,334.00,306.80,331.50,323.54,"82,281.00",313.00,"26,621,195.00","5,156",18.50,27.20,5.91,8.87,2.4,0.00,0.00,342.00,295.00,2023-04-12
253,TAMOR,Sanima Middle Tamor Hydropower Limited,26.88,338.10,338.10,318.50,321.00,323.11,"49,161.00",331.50,"15,884,273.00","3,298",-10.5,19.60,-3.17,6.15,-0.66,0.00,0.00,342.00,295.00,2023-04-13
248,TAMOR,Sanima Middle Tamor Hydropower Limited,26.88,319.00,320.00,308.00,309.00,312.94,"62,246.00",321.00,"19,479,190.40","3,234",-12.0,12.0,-3.74,3.9,-1.27,0.00,0.00,342.00,295.00,2023-04-16
249,TAMOR,Sanima Middle Tamor Hydropower Limited,25.64,308.40,320.00,303.00,320.00,314.61,"38,845.00",314.60,"12,220,853.00","2,115",5.4,17.0,1.72,5.61,1.69,0.00,0.00,342.00,295.00,2023-04-18
256,TAMOR,Sanima Middle Tamor Hydropower Limited,50.47,315.00,323.30,311.00,322.00,319.59,"51,534.00",320.00,"16,469,743.00","2,297",2.0,12.3,0.63,3.95,0.75,0.00,0.00,342.00,295.00,2023-04-19
250,TAMOR,Sanima Middle Tamor Hydropower Limited,50.47,316.10,323.90,313.00,313.00,317.28,"38,607.00",322.00,"12,249,347.00","1,248",-9.0,10.90,-2.8,3.48,-1.37,0.00,0.00,342.00,295.00,2023-04-20
248,TAMOR,Sanima Middle Tamor Hydropower Limited,34.06,306.80,315.00,306.80,309.10,311.33,"51,344.00",313.00,"15,984,788.40","1,947",-3.9,8.2,-1.25,2.67,-0.72,0.00,0.00,342.00,295.00,2023-04-23
253,TAMOR,Sanima Middle Tamor Hydropower Limited,26.59,309.00,310.00,304.60,310.00,306.85,"43,827.00",309.10,"13,448,217.90","1,903",0.9,5.4,0.29,1.77,1.02,0.00,0.00,342.00,295.00,2023-04-24
247,TAMOR,Sanima Middle Tamor Hydropower Limited,27.93,303.90,316.00,303.90,314.00,308.36,"49,440.00",310.00,"15,245,344.10","1,825",4.0,12.1,1.29,3.98,1.8,0.00,0.00,342.00,295.00,2023-04-25
247,TAMOR,Sanima Middle Tamor Hydropower Limited,34.72,310.00,313.00,305.30,309.10,307.14,"37,495.00",314.00,"11,516,238.00","1,103",-4.9,7.7,-1.56,2.52,0.63,0.00,0.00,342.00,295.00,2023-04-26
252,TAMOR,Sanima Middle Tamor Hydropower Limited,30.64,304.50,308.00,303.30,304.10,305.34,"19,920.00",309.10,"6,082,346.00","1,040",-5.00,4.7,-1.62,1.55,-0.41,0.00,0.00,342.00,295.00,2023-04-27
254,TAMOR,Sanima Middle Tamor Hydropower Limited,28.0,299.00,304.00,290.00,290.50,296.43,"47,675.00",304.10,"14,132,162.00","1,054",-13.6,14.0,-4.47,4.83,-2.04,0.00,0.00,342.00,290.00,2023-04-30
253,TAMOR,Sanima Middle Tamor Hydropower Limited,25.31,290.00,295.80,278.00,280.20,283.33,"27,150.00",290.50,"7,692,283.00",915,-10.3,17.8,-3.55,6.4,-1.12,0.00,0.00,342.00,278.00,2023-05-02
248,TAMOR,Sanima Middle Tamor Hydropower Limited,23.29,275.30,280.00,275.10,280.00,276.65,"22,249.00",280.20,"6,155,267.40",697,-0.2,4.9,-0.07,1.78,1.2,0.00,0.00,342.00,275.10,2023-05-03
259,TAMOR,Sanima Middle Tamor Hydropower Limited,27.2,276.00,291.00,275.00,285.00,280.99,"18,340.00",280.00,"5,153,318.80",703,5.0,16.0,1.79,5.82,1.41,0.00,0.00,342.00,275.00,2023-05-04
246,TAMOR,Sanima Middle Tamor Hydropower Limited,28.64,285.00,290.70,275.00,275.20,277.60,"22,604.00",285.00,"6,274,861.80",705,-9.8,15.7,-3.44,5.71,-0.87,0.00,0.00,342.00,275.00,2023-05-07
254,TAMOR,Sanima Middle Tamor Hydropower Limited,35.77,264.90,276.00,261.40,274.00,269.42,"30,361.00",265.40,"8,179,926.90",639,8.6,14.6,3.24,5.59,1.67,0.00,0.00,342.00,261.40,2023-05-09
249,TAMOR,Sanima Middle Tamor Hydropower Limited,26.41,274.00,275.00,266.40,270.00,270.93,"10,705.00",274.00,"2,900,358.60",377,-4.0,8.6,-1.46,3.23,-0.35,0.00,0.00,342.00,261.40,2023-05-10
244,TAMOR,Sanima Middle Tamor Hydropower Limited,33.01,265.00,271.50,264.20,270.00,269.24,"9,995.00",270.00,"2,691,033.00",439,0.0,7.3,0.0,2.76,0.28,0.00,0.00,342.00,261.40,2023-05-11
247,TAMOR,Sanima Middle Tamor Hydropower Limited,32.24,270.00,272.00,262.10,262.30,265.09,"11,859.00",270.00,"3,143,660.90",407,-7.7,9.9,-2.85,3.78,-1.06,0.00,0.00,342.00,261.40,2023-05-14
250,TAMOR,Sanima Middle Tamor Hydropower Limited,23.68,260.00,267.70,256.10,259.00,259.83,"9,090.00",262.30,"2,361,841.00",502,-3.3,11.6,-1.26,4.53,-0.32,0.00,0.00,342.00,256.10,2023-05-15
253,TAMOR,Sanima Middle Tamor Hydropower Limited,30.72,255.00,267.00,255.00,264.00,263.12,"11,341.00",259.00,"2,984,067.60",481,5.0,12.0,1.93,4.71,0.33,0.00,0.00,342.00,255.00,2023-05-16
248,TAMOR,Sanima Middle Tamor Hydropower Limited,44.44,266.00,278.00,266.00,277.10,274.16,"27,118.00",270.00,"7,434,727.10",644,7.1,12.0,2.63,4.51,1.06,0.00,0.00,342.00,255.00,2023-05-18
257,TAMOR,Sanima Middle Tamor Hydropower Limited,43.6,275.10,287.00,269.70,270.00,275.77,"26,895.00",277.10,"7,416,911.40",719,-7.10,17.30,-2.56,6.41,-2.14,0.00,0.00,342.00,255.00,2023-05-21
256,TAMOR,Sanima Middle Tamor Hydropower Limited,43.6,267.30,277.70,265.00,268.00,269.88,"13,041.00",270.00,"3,519,457.00",546,-2.00,12.70,-0.74,4.79,-0.7,0.00,0.00,342.00,255.00,2023-05-22
255,TAMOR,Sanima Middle Tamor Hydropower Limited,38.51,270.00,280.00,269.00,279.00,276.77,"42,247.00",268.00,"11,692,668.60",659,11.00,11.00,4.1,4.09,0.8,0.00,0.00,342.00,255.00,2023-05-23
254,TAMOR,Sanima Middle Tamor Hydropower Limited,41.85,279.00,284.40,271.00,272.10,275.50,"25,789.00",279.00,"7,104,941.40",602,-6.90,13.40,-2.47,4.94,-1.25,0.00,0.00,342.00,255.00,2023-05-24
