SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
234,UHEWA,Upper Hewakhola Hydropower Company Limited,48.57,352.20,369.00,347.00,367.90,354.85,"9,933.00",358.90,"3,524,767.80",153,9.0,22.0,2.51,6.34,3.55,-,-,457.70,130.20,2022-12-07
234,UHEWA,Upper Hewakhola Hydropower Company Limited,48.57,352.20,369.00,347.00,367.90,354.85,"9,933.00",358.90,"3,524,767.80",153,9.0,22.0,2.51,6.34,3.55,-,-,457.70,130.20,2022-12-09
240,UHEWA,Upper Hewakhola Hydropower Company Limited,49.98,360.60,365.00,340.00,357.00,347.42,"26,006.00",367.90,"9,034,902.80",273,-10.9,25.0,-2.96,7.35,2.68,-,-,457.70,130.20,2022-12-11
233,UHEWA,Upper Hewakhola Hydropower Company Limited,38.6,364.00,364.10,345.00,349.10,352.34,"7,591.00",357.00,"2,674,650.70",152,-7.9,19.1,-2.21,5.54,-0.93,-,-,457.70,130.20,2022-12-12
237,UHEWA,Upper Hewakhola Hydropower Company Limited,39.53,343.20,354.00,341.00,347.50,348.64,"2,125.00",349.10,"740,863.50",80,-1.6,13.0,-0.46,3.81,-0.33,-,-,457.70,130.20,2022-12-13
234,UHEWA,Upper Hewakhola Hydropower Company Limited,28.82,354.00,354.00,341.20,341.20,345.14,"4,517.00",347.50,"1,558,986.90",103,-6.3,12.8,-1.81,3.75,-1.15,-,-,457.70,130.20,2022-12-14
242,UHEWA,Upper Hewakhola Hydropower Company Limited,26.69,348.00,348.00,339.40,339.40,340.15,"1,739.00",341.20,"591,522.60",95,-1.8,8.6,-0.53,2.53,-0.22,-,-,457.70,130.20,2022-12-15
239,UHEWA,Upper Hewakhola Hydropower Company Limited,24.55,345.00,345.00,333.00,333.30,334.59,"4,470.00",339.40,"1,495,612.00",107,-6.1,12.0,-1.8,3.6,-0.39,-,-,457.70,130.20,2022-12-18
239,UHEWA,Upper Hewakhola Hydropower Company Limited,35.4,339.90,346.60,325.00,336.60,330.09,"6,440.00",333.30,"2,125,769.00",122,3.3,21.6,0.99,6.65,1.93,-,-,457.70,130.20,2022-12-19
245,UHEWA,Upper Hewakhola Hydropower Company Limited,35.4,334.00,340.40,329.90,337.00,333.74,"3,000.00",336.60,"1,001,222.00",105,0.4,10.5,0.12,3.18,0.97,-,-,457.70,130.20,2022-12-20
240,UHEWA,Upper Hewakhola Hydropower Company Limited,36.63,330.40,339.00,330.40,339.00,336.01,"2,677.00",337.00,"899,506.50",70,2.0,8.6,0.59,2.6,0.88,-,-,457.70,130.20,2022-12-21
235,UHEWA,Upper Hewakhola Hydropower Company Limited,36.94,334.00,341.40,334.00,339.90,339.22,"8,448.00",339.00,"2,865,752.00",99,0.9,7.4,0.27,2.22,0.2,-,-,457.70,130.20,2022-12-22
239,UHEWA,Upper Hewakhola Hydropower Company Limited,46.07,341.10,352.00,337.20,347.00,346.44,"8,715.00",339.90,"3,019,204.00",161,7.1,14.8,2.09,4.39,0.16,-,-,457.70,130.20,2022-12-26
249,UHEWA,Upper Hewakhola Hydropower Company Limited,48.55,353.90,359.90,348.00,353.00,354.67,"12,545.00",347.00,"4,449,313.20",165,6.0,11.90,1.73,3.42,-0.47,-,-,457.70,130.20,2022-12-27
