SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
235,UIC,United Insurance Company (Nepal) Limited,32.48,343.20,349.80,343.00,345.10,345.34,"1,875.00",350.00,"647,517.00",23,-4.9,6.8,-1.4,1.98,-0.07,368.44,424.18,755.00,325.00,2022-12-07
235,UIC,United Insurance Company (Nepal) Limited,32.48,343.20,349.80,343.00,345.10,345.34,"1,875.00",350.00,"647,517.00",23,-4.9,6.8,-1.4,1.98,-0.07,368.44,424.18,755.00,325.00,2022-12-09
241,UIC,United Insurance Company (Nepal) Limited,33.9,339.00,342.00,339.00,339.00,340.08,"2,089.00",345.10,"710,420.20",29,-6.1,3.0,-1.77,0.88,-0.32,-,-,755.00,325.00,2022-12-11
234,UIC,United Insurance Company (Nepal) Limited,29.38,341.00,345.00,337.00,337.30,339.02,"3,907.00",339.00,"1,324,538.90",29,-1.7,8.0,-0.5,2.37,-0.51,367.96,420.56,755.00,325.00,2022-12-12
238,UIC,United Insurance Company (Nepal) Limited,32.51,340.00,342.90,338.50,339.30,340.68,"1,519.00",337.30,"517,488.00",16,2.0,4.4,0.59,1.3,-0.41,367.92,418.78,755.00,325.00,2022-12-13
235,UIC,United Insurance Company (Nepal) Limited,27.73,335.10,341.00,335.00,338.00,338.27,"3,430.00",339.30,"1,160,266.00",25,-1.3,6.0,-0.38,1.79,-0.08,367.89,416.96,755.00,325.00,2022-12-14
243,UIC,United Insurance Company (Nepal) Limited,29.13,338.00,338.00,333.00,333.00,334.82,"1,817.00",338.00,"608,373.10",27,-5.0,5.0,-1.48,1.5,-0.55,367.67,415.05,755.00,325.00,2022-12-15
240,UIC,United Insurance Company (Nepal) Limited,30.22,333.00,335.50,330.00,335.50,333.99,"4,384.00",333.00,"1,464,230.00",15,2.5,5.5,0.75,1.67,0.45,367.53,413.20,755.00,325.00,2022-12-18
240,UIC,United Insurance Company (Nepal) Limited,41.07,335.50,339.00,332.00,339.00,335.69,"3,250.00",335.50,"1,091,000.00",11,3.5,7.0,1.04,2.11,0.98,367.49,411.34,755.00,325.00,2022-12-19
246,UIC,United Insurance Company (Nepal) Limited,41.07,339.00,340.00,336.50,339.00,339.50,"7,724.00",339.00,"2,622,266.00",24,0.0,3.5,0.0,1.04,-0.15,367.40,409.52,755.00,325.00,2022-12-20
241,UIC,United Insurance Company (Nepal) Limited,46.93,340.00,340.00,333.30,334.50,335.69,"2,745.00",339.00,"921,464.50",20,-4.5,6.7,-1.33,2.01,-0.36,367.13,407.74,755.00,325.00,2022-12-21
236,UIC,United Insurance Company (Nepal) Limited,41.86,333.00,335.00,333.00,335.00,333.38,714.00,334.50,"238,033.00",13,0.5,2.0,0.15,0.6,0.48,366.95,405.95,755.00,325.00,2022-12-22
240,UIC,United Insurance Company (Nepal) Limited,34.65,341.70,354.00,336.00,354.00,346.31,"6,173.00",335.00,"2,137,765.50",48,19.0,18.0,5.67,5.36,2.17,366.94,404.22,755.00,325.00,2022-12-26
250,UIC,United Insurance Company (Nepal) Limited,49.55,360.00,373.90,347.00,370.00,365.86,"20,741.00",354.00,"7,588,290.30",145,16.0,26.90,4.52,7.75,1.12,367.02,402.60,755.00,325.00,2022-12-27
246,UIC,United Insurance Company (Nepal) Limited,55.3,369.90,382.00,364.00,379.00,373.54,"21,092.00",370.00,"7,878,745.90",127,9.0,18.0,2.43,4.95,1.44,366.93,401.15,755.00,325.00,2022-12-28
246,UIC,United Insurance Company (Nepal) Limited,55.3,372.30,405.00,368.10,402.00,391.57,"33,991.00",379.00,"13,309,772.00",149,23.0,36.9,6.07,10.02,2.6,367.17,399.92,755.00,325.00,2022-12-29
250,UIC,United Insurance Company (Nepal) Limited,56.35,390.50,410.00,386.00,393.00,398.91,"52,289.00",382.86,"20,858,599.90",248,10.14,24.00,2.65,6.22,-1.5,367.18,398.70,755.00,325.00,2023-01-01
243,UIC,United Insurance Company (Nepal) Limited,56.35,400.80,425.00,385.20,424.00,411.53,"54,284.00",393.00,"22,339,265.40",226,31.0,39.8,7.89,10.33,2.94,367.43,397.66,755.00,325.00,2023-01-02
246,UIC,United Insurance Company (Nepal) Limited,56.83,432.40,440.00,414.00,433.00,426.48,"41,998.00",424.00,"17,911,445.60",222,9.0,26.0,2.12,6.28,1.51,367.83,396.66,755.00,325.00,2023-01-03
247,UIC,United Insurance Company (Nepal) Limited,58.92,426.00,443.00,426.00,442.00,439.17,"23,115.00",433.00,"10,151,386.40",126,9.0,17.0,2.08,3.99,0.64,368.31,395.81,755.00,325.00,2023-01-04
248,UIC,United Insurance Company (Nepal) Limited,55.5,442.00,455.00,437.00,450.00,447.39,"29,492.00",442.00,"13,194,355.60",126,8.0,18.0,1.81,4.12,0.58,368.97,395.10,755.00,325.00,2023-01-05
248,UIC,United Insurance Company (Nepal) Limited,56.7,450.00,480.00,441.00,462.00,460.67,"44,069.00",450.00,"20,301,117.10",247,12.00,39.00,2.67,8.84,0.29,-,-,755.00,325.00,2023-01-08
246,UIC,United Insurance Company (Nepal) Limited,55.83,465.00,488.50,465.00,485.00,478.21,"42,705.00",462.00,"20,422,008.00",206,23.0,23.5,4.98,5.05,1.4,370.93,393.83,755.00,325.00,2023-01-09
243,UIC,United Insurance Company (Nepal) Limited,53.81,490.00,504.00,475.00,475.00,489.73,"47,574.00",485.00,"23,298,624.00",245,-10.0,29.0,-2.06,6.11,-3.1,371.77,393.30,755.00,325.00,2023-01-10
241,UIC,United Insurance Company (Nepal) Limited,53.83,484.00,510.00,456.00,474.00,480.97,"51,819.00",475.00,"24,923,301.60",296,-1.0,54.0,-0.21,11.84,-1.47,372.64,392.71,755.00,325.00,2023-01-12
239,UIC,United Insurance Company (Nepal) Limited,52.28,464.60,480.00,457.00,474.00,471.32,"18,634.00",474.00,"8,782,487.20",116,0.0,23.0,0.0,5.03,0.57,373.58,392.27,755.00,325.00,2023-01-17
237,UIC,United Insurance Company (Nepal) Limited,47.57,467.00,481.00,465.00,466.00,470.52,"19,702.00",474.00,"9,270,196.80",98,-8.0,16.0,-1.69,3.44,-0.97,374.54,391.73,755.00,325.00,2023-01-18
236,UIC,United Insurance Company (Nepal) Limited,44.75,460.00,487.00,460.00,460.00,465.18,"15,895.00",466.00,"7,394,058.40",85,-6.0,27.0,-1.29,5.87,-1.13,375.47,391.04,755.00,325.00,2023-01-19
246,UIC,United Insurance Company (Nepal) Limited,41.45,469.20,475.00,450.90,452.00,461.34,"11,249.00",460.00,"5,189,601.10",86,-8.0,24.1,-1.74,5.34,-2.07,376.28,390.39,755.00,325.00,2023-01-23
238,UIC,United Insurance Company (Nepal) Limited,38.27,460.70,460.70,436.10,448.10,445.71,"10,091.00",452.00,"4,497,656.50",61,-3.9,24.6,-0.86,5.64,0.53,377.01,389.73,743.00,325.00,2023-01-24
250,UIC,United Insurance Company (Nepal) Limited,37.57,457.00,482.00,457.00,470.00,466.61,"19,452.00",448.10,"9,076,520.90",121,21.9,25.0,4.89,5.47,0.72,377.96,389.17,743.00,325.00,2023-01-25
243,UIC,United Insurance Company (Nepal) Limited,45.56,479.40,479.40,465.00,471.00,473.46,"24,537.00",470.00,"11,617,386.90",124,1.0,14.4,0.21,3.1,-0.52,378.93,388.68,743.00,325.00,2023-01-26
256,UIC,United Insurance Company (Nepal) Limited,46.48,465.00,480.00,462.00,470.10,472.62,"17,855.00",471.00,"8,438,601.80",113,-0.9,18.0,-0.19,3.9,-0.54,379.94,388.25,743.00,325.00,2023-01-29
245,UIC,United Insurance Company (Nepal) Limited,44.89,479.00,479.00,455.20,456.40,462.26,"15,346.00",470.10,"7,093,818.00",83,-13.7,23.8,-2.91,5.23,-1.28,380.68,387.81,743.00,325.00,2023-01-30
247,UIC,United Insurance Company (Nepal) Limited,41.76,464.00,465.00,451.00,451.00,455.62,"10,515.00",456.40,"4,790,850.30",73,-5.4,14.0,-1.18,3.1,-1.02,381.23,387.43,743.00,325.00,2023-01-31
249,UIC,United Insurance Company (Nepal) Limited,33.96,458.00,458.00,448.90,452.00,450.73,"5,557.00",451.00,"2,504,724.00",31,1.0,9.1,0.22,2.03,0.28,381.81,387.09,743.00,325.00,2023-02-01
245,UIC,United Insurance Company (Nepal) Limited,33.73,460.00,460.00,434.20,439.00,437.02,"14,518.00",452.00,"6,344,674.00",39,-13.0,25.8,-2.88,5.94,0.45,382.20,386.66,743.00,325.00,2023-02-02
246,UIC,United Insurance Company (Nepal) Limited,31.8,445.00,450.80,434.40,438.50,439.51,"9,203.00",439.00,"4,044,787.00",43,-0.5,16.4,-0.11,3.78,-0.23,382.58,386.21,730.90,325.00,2023-02-05
248,UIC,United Insurance Company (Nepal) Limited,29.29,451.00,469.00,445.00,465.00,457.56,"20,130.00",445.00,"9,210,735.90",94,20.0,24.0,4.49,5.39,1.6,383.25,385.27,730.90,325.00,2023-02-07
245,UIC,United Insurance Company (Nepal) Limited,53.92,454.00,470.00,449.00,470.00,459.25,"5,972.00",460.90,"2,742,622.00",37,9.1,21.0,1.97,4.68,2.29,383.73,385.12,727.00,325.00,2023-02-09
242,UIC,United Insurance Company (Nepal) Limited,48.17,461.00,462.00,444.00,455.00,450.07,"10,205.00",470.00,"4,592,969.80",60,-15.0,18.0,-3.19,4.05,1.08,383.97,385.08,727.00,325.00,2023-02-12
244,UIC,United Insurance Company (Nepal) Limited,30.82,464.00,464.00,441.30,441.30,447.43,"8,733.00",455.00,"3,907,446.10",35,-13.70,22.7,-3.01,5.14,-1.39,384.15,384.98,727.00,325.00,2023-02-14
244,UIC,United Insurance Company (Nepal) Limited,34.71,438.10,440.00,431.50,433.80,434.09,"10,370.00",442.00,"4,501,526.50",47,-8.20,8.50,-1.86,1.97,-0.07,384.60,384.96,727.00,325.00,2023-02-16
246,UIC,United Insurance Company (Nepal) Limited,28.83,434.00,443.00,426.00,428.00,434.30,"7,102.00",433.80,"3,084,392.00",56,-5.8,17.0,-1.34,3.99,-1.47,384.73,384.81,726.20,325.00,2023-02-20
257,UIC,United Insurance Company (Nepal) Limited,39.98,436.50,444.00,430.00,442.00,438.73,"3,464.00",428.00,"1,519,746.20",31,14.0,14.0,3.27,3.26,0.74,385.10,384.75,725.00,325.00,2023-02-22
248,UIC,United Insurance Company (Nepal) Limited,32.01,433.30,438.00,428.00,428.00,432.30,"10,618.00",442.00,"4,590,200.80",56,-14.0,10.0,-3.17,2.34,-1.01,385.36,384.61,725.00,325.00,2023-02-23
250,UIC,United Insurance Company (Nepal) Limited,46.43,429.50,438.00,416.00,438.00,424.68,"9,378.00",428.00,"3,982,635.90",56,10.0,22.0,2.34,5.29,3.04,385.79,384.65,725.00,325.00,2023-02-26
