SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
240,UNL,Unilever Nepal Limited,41.41,"18,500.00","18,500.00","18,360.10","18,360.10","18,440.03",80.00,"18,600.00","1,475,202.00",4,-239.9,139.9,-1.29,0.76,-0.44,"18,399.83","18,580.70","20,600.00","16,556.70",2022-12-07
240,UNL,Unilever Nepal Limited,41.41,"18,500.00","18,500.00","18,360.10","18,360.10","18,440.03",80.00,"18,600.00","1,475,202.00",4,-239.9,139.9,-1.29,0.76,-0.44,"18,399.83","18,580.70","20,600.00","16,556.70",2022-12-09
246,UNL,Unilever Nepal Limited,42.82,"18,727.00","19,050.00","18,424.00","18,600.00","18,720.20",50.00,"18,360.10","936,010.00",5,239.9,626.0,1.31,3.4,-0.65,-,-,"20,600.00","16,556.70",2022-12-11
239,UNL,Unilever Nepal Limited,42.28,"18,590.00","18,599.00","18,590.00","18,599.00","18,597.50",60.00,"18,600.00","1,115,850.00",2,-1.0,9.0,-0.01,0.05,0.01,"18,400.93","18,574.58","20,600.00","16,556.70",2022-12-12
240,UNL,Unilever Nepal Limited,42.15,"18,965.00","18,965.00","18,965.00","18,965.00","18,965.00",20.00,"18,599.00","379,300.00",2,366.0,0.0,1.97,0.0,0.0,"18,399.89","18,573.69","20,600.00","16,556.70",2022-12-14
248,UNL,Unilever Nepal Limited,39.75,"18,940.00","18,940.00","18,849.00","18,849.00","18,917.25",120.00,"18,965.00","2,270,070.00",2,-116.0,91.0,-0.61,0.48,-0.36,"18,398.63","18,572.16","20,600.00","16,556.70",2022-12-15
245,UNL,Unilever Nepal Limited,34.97,"18,480.00","18,480.00","18,475.00","18,475.00","18,476.25",40.00,"18,849.00","739,050.00",3,-374.0,5.0,-1.98,0.03,-0.01,"18,397.49","18,569.24","20,600.00","16,556.70",2022-12-19
251,UNL,Unilever Nepal Limited,34.97,"18,600.00","18,797.00","18,600.00","18,797.00","18,736.38",65.00,"18,475.00","1,217,865.00",3,322.0,197.0,1.74,1.06,0.32,"18,399.14","18,568.11","20,600.00","16,556.70",2022-12-20
246,UNL,Unilever Nepal Limited,45.18,"18,500.00","18,550.00","18,500.00","18,500.00","18,529.88",80.00,"18,797.00","1,482,390.00",6,-297.0,50.0,-1.58,0.27,-0.16,"18,404.44","18,565.06","20,600.00","16,556.70",2022-12-21
241,UNL,Unilever Nepal Limited,34.9,"18,865.00","18,865.00","18,500.00","18,500.00","18,739.61",230.00,"18,500.00","4,310,110.00",9,0.0,365.0,0.0,1.97,-1.3,"18,404.45","18,562.27","20,600.00","16,556.70",2022-12-22
255,UNL,Unilever Nepal Limited,40.37,"18,370.00","18,725.00","18,200.00","18,245.00","18,315.84",590.00,"18,500.00","10,806,345.00",17,-255.0,525.00,-1.38,2.88,-0.39,"18,405.41","18,558.06","20,600.00","16,556.70",2022-12-27
251,UNL,Unilever Nepal Limited,34.67,"18,300.00","18,400.00","18,215.00","18,400.00","18,278.89",180.00,"18,245.00","3,290,200.00",11,155.0,185.0,0.85,1.02,0.66,"18,404.58","18,552.61","20,600.00","16,556.70",2022-12-28
251,UNL,Unilever Nepal Limited,34.67,"18,300.00","18,768.00","18,300.00","18,675.00","18,554.16",202.00,"18,400.00","3,747,940.00",12,275.0,468.0,1.49,2.56,0.65,"18,407.29","18,550.25","20,600.00","16,556.70",2022-12-29
255,UNL,Unilever Nepal Limited,40.07,"18,900.00","18,900.00","18,300.00","18,350.00","18,426.76",170.00,"18,675.00","3,132,550.00",13,-325.0,600.00,-1.74,3.28,-0.42,"18,415.32","18,545.52","20,600.00","16,556.70",2023-01-01
251,UNL,Unilever Nepal Limited,41.98,"18,250.00","18,499.00","18,000.00","18,100.00","18,285.80",150.00,"18,350.00","2,742,870.00",8,-250.0,499.0,-1.36,2.77,-1.03,"18,415.32","18,540.52","20,600.00","16,556.70",2023-01-03
252,UNL,Unilever Nepal Limited,46.12,"18,250.00","18,350.00","18,250.00","18,350.00","18,321.43",70.00,"18,100.00","1,282,500.00",3,250.0,100.0,1.38,0.55,0.16,"18,414.39","18,536.91","20,600.00","16,556.70",2023-01-04
253,UNL,Unilever Nepal Limited,38.32,"18,717.00","18,717.00","18,300.00","18,300.00","18,450.40",50.00,"18,350.00","922,520.00",5,-50.0,417.0,-0.27,2.28,-0.82,"18,416.89","18,533.02","20,600.00","16,556.70",2023-01-05
253,UNL,Unilever Nepal Limited,39.52,"18,300.00","18,300.00","18,150.00","18,250.20","18,235.74",70.00,"18,300.00","1,276,502.00",7,-49.80,150.00,-0.27,0.83,0.08,-,-,"20,600.00","16,556.70",2023-01-08
