SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
256,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,37.35,989.40,989.40,989.40,989.40,989.43,20.00,0.00,"19,788.50",3,989.4,0.0,0.0,0.0,0.0,0.00,0.00,989.40,989.40,2023-02-28
251,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,36.62,989.40,989.40,989.40,989.40,"1,009.05",10.00,989.40,"10,090.50",2,0.00,0.00,0.0,0.0,-1.99,0.00,0.00,989.40,989.40,2023-03-01
250,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,46.71,"1,009.10","1,029.20","1,009.10","1,029.20","1,024.74",45.00,989.40,"46,113.50",7,39.8,20.1,4.02,1.99,0.43,0.00,0.00,"1,029.20",989.40,2023-03-02
253,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,48.12,"1,049.70","1,070.60","1,049.70","1,070.60","1,069.89",145.00,"1,029.20","155,134.00",10,41.4,20.9,4.02,1.99,0.07,0.00,0.00,"1,070.60",989.40,2023-03-05
255,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,43.64,"1,092.00","1,092.00","1,092.00","1,092.00","1,087.14",35.00,"1,070.60","38,050.00",6,21.4,0.0,2.0,0.0,0.44,0.00,0.00,"1,092.00",989.40,2023-03-07
256,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,43.79,"1,113.80","1,113.80","1,113.80","1,113.80","1,110.90",20.00,"1,092.00","22,218.00",3,21.8,0.0,2.0,0.0,0.26,0.00,0.00,"1,113.80",989.40,2023-03-09
254,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,42.74,"1,136.00","1,158.70","1,136.00","1,158.70","1,156.14",35.00,"1,113.80","40,465.00",5,44.9,22.7,4.03,2.0,0.22,0.00,0.00,"1,158.70",989.40,2023-03-12
249,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,45.8,"1,229.50","1,325.90","1,229.50","1,325.90","1,294.51",155.00,"1,205.40","200,648.50",13,120.5,96.4,10.0,7.84,2.37,0.00,0.00,"1,325.90",989.40,2023-03-14
247,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,46.72,"1,352.40","1,458.40","1,352.40","1,458.40","1,440.98",150.00,"1,325.90","216,147.50",11,132.50,106.0,9.99,7.84,1.19,0.00,0.00,"1,458.40",989.40,2023-03-15
252,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,50.87,"1,487.50","1,604.20","1,487.50","1,604.20","1,592.53",347.00,"1,458.40","552,607.40",22,145.8,116.7,10.0,7.85,0.73,0.00,0.00,"1,604.20",989.40,2023-03-16
254,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,47.73,"1,636.20","1,764.60","1,636.20","1,764.60","1,758.11",900.00,"1,604.20","1,582,295.00",43,160.4,128.4,10.0,7.85,0.37,0.00,0.00,"1,764.60",989.40,2023-03-19
252,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,46.03,"1,799.80","1,941.00","1,799.80","1,941.00","1,934.26",621.00,"1,764.60","1,201,176.50",42,176.4,141.2,10.0,7.85,0.35,0.00,0.00,"1,941.00",989.40,2023-03-20
260,UNLB,Unique Nepal Laghubitta Bittiya Sanstha Limited,43.01,"1,979.80","2,135.10","1,940.40","1,945.00","2,081.37","2,879.00","1,941.00","5,992,275.50",136,4.0,194.7,0.21,10.03,-7.01,0.00,0.00,"2,135.10",989.40,2023-03-22
