SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
244,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,47.0,901.00,901.00,890.00,900.00,897.30,392.00,884.00,"351,743.00",11,16.0,11.0,1.81,1.24,0.3,966.10,"1,065.18","1,957.30",858.00,2022-12-07
244,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,47.0,901.00,901.00,890.00,900.00,897.30,392.00,884.00,"351,743.00",11,16.0,11.0,1.81,1.24,0.3,966.10,"1,065.18","1,957.30",858.00,2022-12-09
250,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,48.41,885.00,885.10,868.00,869.00,881.47,395.00,900.00,"348,179.20",9,-31.0,17.1,-3.44,1.97,-1.43,-,-,"1,957.30",858.00,2022-12-11
243,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,38.1,883.00,887.00,883.00,887.00,885.82,152.00,869.00,"134,644.00",5,18.0,4.0,2.07,0.45,0.13,964.53,"1,058.38","1,957.30",858.00,2022-12-12
246,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,44.77,871.00,875.10,853.10,870.10,867.40,866.00,887.00,"751,164.80",28,-16.9,22.0,-1.91,2.58,0.31,963.74,"1,054.99","1,957.30",853.10,2022-12-13
244,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,34.47,870.10,885.00,863.00,885.00,874.52,138.00,870.10,"120,684.20",8,14.9,22.0,1.71,2.55,1.18,963.39,"1,051.75","1,957.30",853.10,2022-12-14
252,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,25.88,868.00,869.00,868.00,868.40,868.58,99.00,885.00,"85,989.60",5,-16.6,1.0,-1.88,0.12,-0.02,962.74,"1,048.35","1,957.30",853.10,2022-12-15
248,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,35.15,884.00,901.40,884.00,899.00,894.48,31.00,868.40,"27,729.00",4,30.6,17.4,3.52,1.97,0.5,962.44,"1,045.31","1,957.30",853.10,2022-12-18
249,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,33.19,882.00,882.00,865.00,865.00,867.96,112.00,899.00,"97,211.00",3,-34.0,17.0,-3.78,1.97,-0.34,961.85,"1,042.17","1,957.30",853.10,2022-12-19
255,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,33.19,865.00,882.40,865.00,882.40,870.78,64.00,865.00,"55,729.60",8,17.4,17.4,2.01,2.01,1.32,961.25,"1,039.16","1,957.30",853.10,2022-12-20
250,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,34.52,900.00,900.00,875.20,875.20,884.47,348.00,882.40,"307,797.20",12,-7.2,24.8,-0.82,2.83,-1.06,960.29,"1,036.26","1,957.30",853.10,2022-12-21
245,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,44.72,889.90,889.90,889.90,889.90,889.90,14.00,875.20,"12,458.60",1,14.7,0.0,1.68,0.0,0.0,960.28,"1,033.54","1,957.30",853.10,2022-12-22
248,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,19.45,907.60,907.60,885.00,887.00,890.54,147.00,889.90,"130,910.00",9,-2.9,22.6,-0.33,2.55,-0.4,959.67,"1,030.65","1,957.30",853.10,2022-12-26
259,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,43.76,904.00,904.70,894.00,902.00,902.94,609.00,887.00,"549,893.50",23,15.0,10.70,1.69,1.2,-0.1,958.80,"1,027.83","1,957.30",853.10,2022-12-27
255,USLB,Unnati Sahakarya Laghubitta Bittiya Sanstha Limited,53.77,884.00,918.90,884.00,918.90,895.30,643.00,902.00,"575,677.50",13,16.9,34.9,1.87,3.95,2.57,957.64,"1,025.24","1,946.10",853.10,2022-12-28
