SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
245,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.57,815.00,836.00,815.00,835.00,831.56,"1,024.00",820.00,"851,517.00",18,15.0,21.0,1.83,2.58,0.41,923.03,977.45,"1,540.00",790.00,2022-12-07
245,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.57,815.00,836.00,815.00,835.00,831.56,"1,024.00",820.00,"851,517.00",18,15.0,21.0,1.83,2.58,0.41,923.03,977.45,"1,540.00",790.00,2022-12-09
251,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,45.98,840.00,845.00,805.00,829.20,820.22,725.00,835.00,"594,662.00",16,-5.8,40.0,-0.69,4.97,1.08,-,-,"1,540.00",790.00,2022-12-11
244,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,37.8,821.00,821.00,821.00,821.00,821.00,13.00,829.20,"10,673.00",1,-8.2,0.0,-0.99,0.0,0.0,921.22,972.76,"1,540.00",790.00,2022-12-12
247,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,36.79,821.00,828.00,821.00,825.00,824.85,71.00,821.00,"58,564.00",4,4.0,7.0,0.49,0.85,0.02,920.26,970.45,"1,540.00",790.00,2022-12-13
245,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,41.05,820.00,825.00,813.00,813.00,820.37,84.00,825.00,"68,911.00",4,-12.0,12.0,-1.45,1.48,-0.91,919.35,968.06,"1,540.00",790.00,2022-12-14
253,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,21.99,819.00,821.00,801.00,810.00,806.61,501.00,813.00,"404,111.00",15,-3.0,20.0,-0.37,2.5,0.42,918.79,965.62,"1,540.00",790.00,2022-12-15
249,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,27.77,800.00,805.00,775.00,788.00,790.19,"1,724.00",810.00,"1,362,292.80",32,-22.0,30.0,-2.72,3.87,-0.28,917.84,963.11,"1,540.00",775.00,2022-12-18
250,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,31.8,789.00,831.00,777.00,814.40,788.14,"1,184.00",788.00,"933,155.90",26,26.4,54.0,3.35,6.95,3.22,917.29,960.75,"1,540.00",775.00,2022-12-19
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,31.8,811.00,811.00,798.20,798.20,804.01,919.00,814.40,"738,884.20",23,-16.2,12.8,-1.99,1.6,-0.73,916.88,958.28,"1,540.00",775.00,2022-12-20
251,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,37.02,782.30,810.90,782.30,797.00,796.49,236.00,798.20,"187,972.80",10,-1.2,28.6,-0.15,3.66,0.06,916.23,955.93,"1,540.00",775.00,2022-12-21
246,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,29.76,796.00,800.00,796.00,800.00,798.55,534.00,797.00,"426,424.00",9,3.0,4.0,0.38,0.5,0.18,915.07,953.74,"1,540.00",775.00,2022-12-22
249,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.29,815.00,831.00,815.00,831.00,819.19,658.00,800.00,"539,027.00",18,31.0,16.0,3.88,1.96,1.42,914.31,951.79,"1,540.00",775.00,2022-12-26
260,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,46.18,847.00,847.00,826.00,832.00,835.78,"1,054.00",831.00,"880,917.00",27,1.0,21.00,0.12,2.54,-0.45,913.74,949.67,"1,500.00",775.00,2022-12-27
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,51.97,830.00,834.00,810.50,834.00,823.72,"1,005.00",832.00,"827,833.60",27,2.0,23.5,0.24,2.9,1.23,912.82,947.59,"1,500.00",775.00,2022-12-28
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,51.97,839.80,857.00,839.80,857.00,851.31,"1,295.00",834.00,"1,102,452.20",15,23.0,17.2,2.76,2.05,0.66,911.55,945.77,"1,500.00",775.00,2022-12-29
260,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,56.35,859.00,872.00,840.00,850.00,859.09,"2,551.00",857.00,"2,191,536.90",39,-7.0,32.00,-0.82,3.81,-1.07,910.34,943.91,"1,500.00",775.00,2023-01-01
252,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,56.35,850.00,865.00,835.00,865.00,847.32,"2,639.00",850.00,"2,236,065.00",43,15.0,30.0,1.76,3.59,2.04,908.92,942.38,"1,500.00",775.00,2023-01-02
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,58.26,865.00,909.80,864.50,893.00,878.62,"1,583.00",865.00,"1,390,861.80",29,28.0,45.3,3.24,5.24,1.61,908.07,941.06,"1,500.00",775.00,2023-01-03
257,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,58.04,909.00,930.00,875.50,927.10,900.32,"6,050.00",893.00,"5,446,953.60",70,34.1,54.5,3.82,6.23,2.89,907.65,939.84,"1,500.00",775.00,2023-01-04
258,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,60.21,908.60,960.00,908.60,930.00,932.95,"3,201.00",927.10,"2,986,358.60",53,2.9,51.4,0.31,5.66,-0.32,907.17,938.82,"1,500.00",775.00,2023-01-05
258,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,61.41,914.00,960.00,912.10,933.70,942.04,"2,448.00",930.00,"2,306,103.50",44,3.70,47.90,0.4,5.25,-0.89,-,-,"1,500.00",775.00,2023-01-08
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,55.75,931.00,999.00,925.00,964.00,952.08,"1,583.00",933.70,"1,507,150.50",36,30.3,74.0,3.25,8.0,1.24,906.87,936.87,"1,500.00",775.00,2023-01-09
253,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,53.45,962.10,"1,010.00",956.20,970.00,979.81,"3,285.00",964.00,"3,218,662.60",54,6.0,53.8,0.62,5.63,-1.01,907.61,936.14,"1,500.00",775.00,2023-01-10
251,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,53.47,989.00,989.00,922.30,939.00,939.92,"2,272.00",970.00,"2,135,508.40",50,-31.0,66.7,-3.2,7.23,-0.1,908.04,935.36,"1,500.00",775.00,2023-01-12
249,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,49.47,921.10,"1,014.30",921.10,994.10,953.97,"4,926.00",939.00,"4,699,239.10",43,55.1,93.2,5.87,10.12,4.04,908.57,934.83,"1,499.00",775.00,2023-01-17
247,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,57.14,976.00,990.00,962.00,990.00,977.45,"1,132.00",994.10,"1,106,472.40",37,-4.1,28.0,-0.41,2.91,1.27,908.96,934.27,"1,484.00",775.00,2023-01-18
245,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,47.34,971.00,985.00,970.00,981.00,976.62,"1,271.00",990.00,"1,241,284.00",34,-9.0,15.0,-0.91,1.55,0.45,909.31,933.75,"1,484.00",775.00,2023-01-19
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.13,961.40,985.00,950.00,965.00,965.58,"1,178.00",981.00,"1,137,458.20",22,-16.0,35.0,-1.63,3.68,-0.06,909.26,932.83,"1,475.00",775.00,2023-01-23
247,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.61,946.00,964.90,940.00,964.90,943.96,"2,860.00",965.00,"2,699,732.20",20,-0.1,24.9,-0.01,2.65,2.17,909.11,932.02,"1,445.00",775.00,2023-01-24
260,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.38,964.50,984.00,964.50,979.00,975.36,"1,197.00",964.90,"1,167,500.60",19,14.1,19.5,1.46,2.02,0.37,909.01,931.37,"1,445.00",775.00,2023-01-25
253,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,42.69,992.00,992.00,980.00,980.00,982.88,80.00,979.00,"78,630.00",4,1.0,12.0,0.1,1.22,-0.29,908.80,930.78,"1,445.00",775.00,2023-01-26
266,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,37.8,961.00,978.00,949.50,953.10,958.56,956.00,980.00,"916,383.30",27,-26.9,28.5,-2.74,3.0,-0.57,908.25,930.21,"1,445.00",775.00,2023-01-29
255,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,39.92,943.00,944.10,900.10,900.10,932.10,"2,310.00",953.10,"2,153,162.30",30,-53.0,44.0,-5.56,4.89,-3.56,907.42,929.48,"1,445.00",775.00,2023-01-30
258,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,40.26,886.00,912.00,885.10,912.00,893.35,"1,306.00",900.10,"1,166,711.20",28,11.9,26.9,1.32,3.04,2.05,906.27,928.72,"1,445.00",775.00,2023-01-31
260,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,35.86,899.00,909.00,896.00,900.00,901.59,"1,470.00",912.00,"1,325,339.10",30,-12.0,13.0,-1.32,1.45,-0.18,904.69,927.97,"1,445.00",775.00,2023-02-01
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,38.52,916.00,916.00,885.10,897.00,899.50,722.00,900.00,"649,441.20",12,-3.0,30.9,-0.33,3.49,-0.28,903.34,927.26,"1,445.00",775.00,2023-02-02
257,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,38.78,885.00,915.00,885.00,901.10,903.09,"1,460.00",897.00,"1,318,509.80",14,4.1,30.0,0.46,3.39,-0.22,901.73,926.35,"1,405.00",775.00,2023-02-05
259,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,27.8,900.00,935.00,900.00,935.00,918.58,"1,019.00",899.00,"936,034.60",28,36.0,35.0,4.0,3.89,1.76,898.85,924.34,"1,405.00",775.00,2023-02-07
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,59.33,930.20,967.00,930.20,966.00,959.70,532.00,912.00,"510,562.40",10,54.0,36.8,5.92,3.96,0.65,896.53,923.05,"1,387.00",775.00,2023-02-09
255,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,39.88,903.00,921.00,903.00,904.00,909.44,"1,795.00",920.00,"1,632,449.10",32,-16.00,18.00,-1.74,1.99,-0.6,893.58,921.74,"1,387.00",775.00,2023-02-16
257,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,33.93,904.00,904.00,885.00,890.00,892.07,479.00,904.00,"427,302.40",18,-14.0,19.0,-1.55,2.15,-0.23,892.00,920.99,"1,300.00",775.00,2023-02-20
268,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,30.11,907.00,924.00,856.40,875.00,874.84,"1,274.00",890.00,"1,114,552.50",40,-15.0,67.6,-1.69,7.89,0.02,890.59,920.40,"1,300.00",775.00,2023-02-22
259,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,35.09,858.00,866.00,787.50,787.50,815.27,"8,951.00",875.00,"7,297,472.90",147,-87.5,78.5,-10.0,9.97,-3.53,888.46,919.08,"1,295.40",775.00,2023-02-23
261,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,38.47,772.00,850.00,753.10,850.00,806.41,"3,297.00",787.50,"2,658,723.50",85,62.5,96.9,7.94,12.87,5.13,886.68,918.04,"1,294.00",753.10,2023-02-26
261,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,34.5,815.00,843.00,810.00,834.00,824.02,933.00,831.00,"768,811.20",26,3.0,33.0,0.36,4.07,1.2,883.42,916.12,"1,294.00",753.10,2023-02-28
256,VLBS,Vijaya Laghubitta Bittiya Sanstha Limited,44.67,818.10,829.00,802.80,829.00,811.91,370.00,834.00,"300,405.10",16,-5.00,26.20,-0.6,3.26,2.06,882.08,915.24,"1,294.00",753.10,2023-03-01
